
['barbour hall', 'barbour fl 1 a', 'pbarbour 140', 'barbour 140 141', 'barbour 140 141-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['barbour hall', 'barbour fl 1 a', 'pbarbour 140', 'barbour 140 144', 'barbour 140 144-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['barbour hall', 'barbour fl 1 a', 'pbarbour 140', 'barbour 140 145', 'barbour 140 145-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['barbour hall', 'barbour fl 1 a', 'pbarbour 140', 'barbour 140 146', 'barbour 140 146-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 1', 'chen 116', 'chen 116 116a', 'chen 116 116a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 1', 'chen 116', 'chen 116 116b', 'chen 116 116b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 1', 'chen 116', 'chen 116 116c', 'chen 116 116c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 1', 'chen 116', 'chen 116 116d', 'chen 116 116d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 1', 'chen 118', 'chen 118 118a', 'chen 118 118a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 1', 'chen 118', 'chen 118 118b', 'chen 118 118b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 1', 'chen 118', 'chen 118 118c', 'chen 118 118c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 1', 'chen 118', 'chen 118 118d', 'chen 118 118d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 1', 'chen 119', 'chen 119 119a', 'chen 119 119a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

